link,Maven,Gradle,Jacoco,Cobertura,Javadoc,Codecov GHA,Codecov Travis,Travis CI,Github Actions,Yml Jacoco,Yml Cobertura,Yml Javadoc,Jacoco skip
https://github.com/spring-projects/spring-framework,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
https://github.com/apache/dubbo,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes GHA,No,Yes GHA,No
https://github.com/iluwatar/java-design-patterns,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No
https://github.com/elastic/elasticsearch,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
https://github.com/netty/netty,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
https://github.com/spring-projects/spring-petclinic,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
https://github.com/mybatis/mybatis-3,Yes,No,Yes,No,No,No,No,No,Yes,Yes GHA,No,No,Yes GHA
https://github.com/apache/kafka,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
https://github.com/apache/flink,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
https://github.com/google/guava,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes GHA,No
https://github.com/ctripcorp/apollo,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes GHA,No,No,No
https://github.com/zxing/zxing,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes Travis,No,No,No
https://github.com/square/okhttp,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
https://github.com/jleetutorial/maven-project,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
https://github.com/chanjarster/weixin-java-tools,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No
https://github.com/apache/rocketmq,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes Travis,No,No,No
https://github.com/xuxueli/xxl-job,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
https://github.com/checkstyle/checkstyle,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes GHA,No
https://github.com/xkcoding/spring-boot-demo,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes GHA,No
https://github.com/alibaba/druid,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No
https://github.com/alibaba/nacos,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
https://github.com/ReactiveX/RxJava,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes GHA,No
https://github.com/apache/hadoop,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
