link,Maven,Gradle,Jacoco,Cobertura,Javadoc,Codecov,Travis CI,Github Actions,Lastest GHA CI build,Latest Travis CI build,
https://github.com/spring-projects/spring-framework,No,Yes,No,No,Yes,No,No,Yes,https://github.com/spring-projects/spring-framework/actions/runs/1063034870,,
https://github.com/iluwatar/java-design-patterns,Yes,No,Yes,No,No,No,No,Yes,https://github.com/iluwatar/java-design-patterns/runs/3153697070?check_suite_focus=true,,
https://github.com/elastic/elasticsearch,No,Yes,No,No,Yes,No,No,Yes,https://github.com/elastic/elasticsearch/runs/3146571034?check_suite_focus=true,,
https://github.com/netty/netty,Yes,No,Yes,No,Yes,No,No,Yes,https://github.com/netty/netty/runs/3151519314?check_suite_focus=true,,
https://github.com/google/guava,Yes,No,No,No,Yes,No,No,Yes,https://github.com/google/guava/actions/runs/1063083412,,
https://github.com/ctripcorp/apollo,Yes,No,Yes,Yes,Yes,No,No,Yes,https://github.com/ctripcorp/apollo/actions/runs/1062553092,,
https://github.com/square/okhttp,No,Yes,No,No,Yes,No,No,Yes,https://github.com/square/okhttp/actions/runs/1055239572,,
https://github.com/xuxueli/xxl-job,Yes,No,No,No,Yes,No,No,Yes,expired,,
https://github.com/ReactiveX/RxJava,No,Yes,Yes,No,Yes,No,No,Yes,https://github.com/ReactiveX/RxJava/actions/runs/1062839834,,
https://github.com/jenkinsci/jenkins,Yes,No,No,No,Yes,No,No,Yes,https://github.com/jenkinsci/jenkins/actions/runs/1063752704,,
https://github.com/Activiti/Activiti,Yes,No,Yes,No,Yes,No,No,Yes,https://github.com/Activiti/Activiti/runs/3075589482?check_suite_focus=true,,
https://github.com/alibaba/Sentinel,Yes,No,Yes,No,Yes,Yes,No,Yes,https://github.com/alibaba/Sentinel/actions/runs/1015666287,,
https://github.com/bumptech/glide,No,Yes,No,No,Yes,No,No,Yes,https://github.com/bumptech/glide/actions/runs/980020781,,
https://github.com/signalapp/Signal-Android,No,Yes,No,No,Yes,No,No,Yes,https://github.com/signalapp/Signal-Android/actions/runs/1063924412,,
https://github.com/eclipse/deeplearning4j,Yes,No,No,No,Yes,No,No,Yes,https://github.com/eclipse/deeplearning4j/actions/runs/1063478401,,
https://github.com/redis/jedis,Yes,No,Yes,No,Yes,No,No,Yes,https://github.com/redis/jedis/actions/runs/1054942268,,
https://github.com/pinpoint-apm/pinpoint,Yes,No,Yes,No,Yes,No,No,Yes,https://github.com/pinpoint-apm/pinpoint/actions/runs/1063678257,,
https://github.com/LMAX-Exchange/disruptor,No,Yes,No,No,Yes,No,No,Yes,https://github.com/LMAX-Exchange/disruptor/actions/runs/1052971888,,
https://github.com/dropwizard/dropwizard,Yes,No,No,No,Yes,No,No,Yes,https://github.com/dropwizard/dropwizard/actions/runs/1063592002,,
https://github.com/junit-team/junit4,Yes,No,No,No,Yes,No,No,Yes,https://github.com/junit-team/junit4/actions/runs/928549593,,
https://github.com/grpc/grpc-java,No,Yes,Yes,No,Yes,No,No,Yes,https://github.com/grpc/grpc-java/actions/runs/1063818028,,
https://github.com/SERG-Delft/mooc-software-testing,Yes,No,Yes,No,No,No,No,Yes,https://github.com/SERG-Delft/mooc-software-testing/actions/runs/842173050,,
https://github.com/apache/zeppelin,Yes,No,No,Yes,Yes,No,No,Yes,https://github.com/apache/zeppelin/actions/runs/1064267248,,
https://github.com/Alluxio/alluxio,Yes,No,Yes,No,Yes,No,No,Yes,https://github.com/Alluxio/alluxio/actions/runs/1064227645,,
https://github.com/TEAMMATES/teammates,No,Yes,Yes,No,No,Yes,No,Yes,https://github.com/TEAMMATES/teammates/actions/runs/1064343719,,
