Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
spring-attic/spring-roo,https://github.com/spring-attic/spring-roo,master,ae56ba66d0b18e72fc7ff650e205ea03d6998aab,682,320,29/06/2022 15:00:47
ogrisel/mahout,https://github.com/ogrisel/mahout,trunk,c32bdfc532e5a2adeffaf7d8d19c8e886d4508db,15,322,29/06/2022 15:00:47
paceuniversity/courses,https://github.com/paceuniversity/courses,master,a3ac13389fe4e2fb2d73722be7d09bd801ad31b2,3,322,29/06/2022 15:00:47
dangdangdotcom/config-toolkit,https://github.com/dangdangdotcom/config-toolkit,master,f99984e4dccfa508b89b780e3647e6336b64aee7,500,323,29/06/2022 15:00:47
wosyingjun/beauty_ssm_cluster,https://github.com/wosyingjun/beauty_ssm_cluster,master,4e488bd87415d9817145a15c6d3be6311927a337,500,323,29/06/2022 15:00:47
nus-cs2103-AY1920S1/duke,https://github.com/nus-cs2103-AY1920S1/duke,master,baa18a5b60aee205f3593787bac4dc4a98a7687c,0,325,29/06/2022 15:00:47
toddlipcon/parquet-mr,https://github.com/toddlipcon/parquet-mr,master,7ea3721c8559b96683854edf1594059eb6deda35,1,325,29/06/2022 15:00:47
nobunobuta/android_packages_apps_Contacts,https://github.com/nobunobuta/android_packages_apps_Contacts,donut,a3f4b7fd4b80cb3c442cf3204963f05ea5b31c2b,10,325,29/06/2022 15:00:47
facebookarchive/nifty,https://github.com/facebookarchive/nifty,master,ccacff7f0a723abe0b9ed399bcc3bc85784e7396,905,325,29/06/2022 15:00:47
Splitter/android_packages_apps_apolloMod,https://github.com/Splitter/android_packages_apps_apolloMod,master,5a0946b005ed9d3d684b0a59a14da7bf4e64308c,447,326,29/06/2022 15:00:47
MarkMjw/PullToRefresh,https://github.com/MarkMjw/PullToRefresh,master,a5e0bd4ce2c5ceb1d30b01d66fe434f14b08729b,697,326,29/06/2022 15:00:47
CyanogenMod/android_packages_apps_Camera,https://github.com/CyanogenMod/android_packages_apps_Camera,cm-10.2,4d28e5e2b1e9efbac8a8a3c34e20927d8243749c,304,326,29/06/2022 15:00:47
caelum/vraptor4,https://github.com/caelum/vraptor4,master,593ce9ad60f9d38c360881b2132417c56b8cc093,345,326,29/06/2022 15:00:47
MarkMjw/PullScrollView,https://github.com/MarkMjw/PullScrollView,master,0dbcbd2f4f17b4953f30a74d9481e1315e49e47e,862,327,29/06/2022 15:00:47
apiman/apiman,https://github.com/apiman/apiman,master,fcf5c955d9bc92c2849411a5a65d39d950b44f79,687,327,29/06/2022 15:00:47
event-storming/monolith,https://github.com/event-storming/monolith,master,da8d1b169947f26dac554a7458e7087e73c33e7e,4,328,29/06/2022 15:00:47
I00I/push-notifications-sdk,https://github.com/I00I/push-notifications-sdk,master,ad54151bca5dbbf43c6963f0de904731db7efc8d,0,328,29/06/2022 15:00:47
googlearchive/android-PictureInPicture,https://github.com/googlearchive/android-PictureInPicture,master,b4e5a04523081d95f3679106e771813f68a88dc8,1402,328,29/06/2022 15:00:47
chiclaim/AndroidAll,https://github.com/chiclaim/AndroidAll,master,fc5a7d8c10dff589ab2ca20d31f22619fbb3a196,1278,331,29/06/2022 15:00:47
polinema-mobile/2019-mobile02,https://github.com/polinema-mobile/2019-mobile02,master,3cf19f01d03f15933d45e470e4fa9192a9755185,0,332,29/06/2022 15:00:47
LuckyJayce/MVCHelper,https://github.com/LuckyJayce/MVCHelper,master,ca042539591982173b1fb3088178219ca0afe39f,1411,332,29/06/2022 15:00:47
DependencyTrack/dependency-track,https://github.com/DependencyTrack/dependency-track,master,58dae19771324a323f3327af9a73d0633c0b4aab,1202,332,29/06/2022 15:00:47
v5developer/maven-framework-project,https://github.com/v5developer/maven-framework-project,master,fd8cdf88b06e368ef19f944b8d880dc1abdcf714,524,332,29/06/2022 15:00:47
codepath/android-rottentomatoes-demo,https://github.com/codepath/android-rottentomatoes-demo,master,1d7aed03cd07f9c95ef77c65892717119ccea648,68,333,29/06/2022 15:00:47
michaelliao/learn-sql,https://github.com/michaelliao/learn-sql,master,52db2c345a2d6bac45bb2d5378e41e47b326bd15,94,333,29/06/2022 15:00:47
itext/itext7,https://github.com/itext/itext7,develop,ddc240ef14f65c30db5d4852a032a3d868193a23,1283,335,29/06/2022 15:00:47
chwshuang/web,https://github.com/chwshuang/web,master,b70de533fa3a3462f72d5c230bcfc5fb179f4e0e,497,336,29/06/2022 15:00:47
pluralsight-projects/java-spring-basic-blog,https://github.com/pluralsight-projects/java-spring-basic-blog,master,006c3671899d66a25141478a52118380e6fde5e7,2,364,29/06/2022 15:00:47
next-step/java-bowling,https://github.com/next-step/java-bowling,master,a2537a0893f941ab60797a762941b698cdfb906b,13,365,29/06/2022 15:00:47
seeditsolution/javaprogram,https://github.com/seeditsolution/javaprogram,master,8777f00397fb291aedbea0862e5f7c8324325bd8,6,399,29/06/2022 15:03:07
googlearchive/AndroidChat,https://github.com/googlearchive/AndroidChat,master,f678bec02c16f2018ea3405f3f5e0f8f6a7a3515,503,405,29/06/2022 15:03:07
UniversalMediaServer/UniversalMediaServer,https://github.com/UniversalMediaServer/UniversalMediaServer,main,b97edcb300ef723c164f507a373cf11ee38fc448,1720,405,29/06/2022 15:03:07
woozzu/IndexableListView,https://github.com/woozzu/IndexableListView,master,dc3bc9e14155a60221d9850011ebd242b388eb06,871,406,29/06/2022 15:03:07
mimminito/cardsui-for-android,https://github.com/mimminito/cardsui-for-android,master,4e0ad650bfd47afc07f70144ac34e564118c5300,1,406,29/06/2022 15:03:07
apache/accumulo,https://github.com/apache/accumulo,main,4327bee71f63bd7380d6ec2f209414adfe9335e2,921,406,29/06/2022 15:03:07
tyzlmjj/PagerBottomTabStrip,https://github.com/tyzlmjj/PagerBottomTabStrip,master,fae38611c6d35a001455abfa74ea6f8d0abd66a3,2787,406,29/06/2022 15:03:07
BlueMor/DragLayout,https://github.com/BlueMor/DragLayout,master,02267321a423d8b6db77986f7e7d56f27e868716,987,407,29/06/2022 15:03:07
metasfresh/metasfresh,https://github.com/metasfresh/metasfresh,master,14300a0c2c86d6cab220ab398e44a6b9098190ff,1138,407,29/06/2022 15:03:07
LibrePDF/OpenPDF,https://github.com/LibrePDF/OpenPDF,master,76bbb2608d0b1610fe73e9cdba5a82fccc5892dc,2369,407,29/06/2022 15:03:07
liweiwei1419/LeetCode-Solutions-in-Good-Style,https://github.com/liweiwei1419/LeetCode-Solutions-in-Good-Style,master,acc8661338cc7c1ae067915fb16079a9e3e66847,2573,407,29/06/2022 15:03:07
