Maven,Gradle,Travis CI,Github Actions
1002,1002,1002,1002
Maven
Maven Jacoco, Maven Cobertura,Maven Javadoc,Jacoco&Cobertura,Cobertura&Javadoc,Jacoco&Javadoc,Jacoco&Cobertura&Javadoc,Jacoco or Cobertura or Javadoc
1002,492,448,492,61,448,61,1002
Gradle
Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Jacoco&Cobertura,Cobertura&Javadoc,Jacoco&Javadoc,Jacoco&Cobertura&Javadoc,Jacoco or Cobertura or Javadoc
200,224,60,51,40,19,14,373
Travis CI
Travis Codecov,Travis Jacoco,Travis Cobertura,Travis Javadoc,Tyml_codecov_jacoco,Tyml_codecov_cobertura,Tyml_codecov_javadoc,Tyml_jacoco_cobertura_javadoc Any
17,118,30,2,14,1,0,147
Github Actions
GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc,Gyml_codecov_jacoco,Gyml_codecov_cobertura,Gyml_codecov_javadoc,Gyml_jacoco_cobertura_javadoc Any
91,16,7,7,1,0,1,20
Maven Projects - Travis CI
Travis Codecov,Travis Jacoco,Travis Cobertura,Travis Javadoc,Tyml_codecov_jacoco,Tyml_codecov_cobertura,Tyml_codecov_javadoc,Tyml_jacoco_cobertura_javadoc Any
17,118,30,2,14,1,0,147
Gradle Projects - Travis CI
Travis Codecov,Travis Jacoco,Travis Cobertura,Travis Javadoc,Tyml_codecov_jacoco,Tyml_codecov_cobertura,Tyml_codecov_javadoc,Tyml_jacoco_cobertura_javadoc Any
17,118,30,2,14,1,0,147
Maven Projects - Github Actions
GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc,Gyml_codecov_jacoco,Gyml_codecov_cobertura,Gyml_codecov_javadoc,Gyml_jacoco_cobertura_javadoc Any
91,16,7,7,1,0,1,20
Gradle Projects - Github Actions
GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc,Gyml_codecov_jacoco,Gyml_codecov_cobertura,Gyml_codecov_javadoc,Gyml_jacoco_cobertura_javadoc Any
91,16,7,7,1,0,1,20
